amfi_code,scheme_name,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,beta,alpha_annualized,max_drawdown,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_mdd,final_score
118632,Nippon India Large Cap Fund - Regular - Growth,0.20498362620380162,0.17563403000796507,,0.4473959940899061,0.22987941703380899,-0.24326217356115828,0.26699223512656955,-0.33461742193014543,1.51,0.6,0.725,0.4,0.4125,0.325,53.56249999999999
118635,Nippon India ETF Nifty 50 BeES,0.20602623892663763,0.1532648661815894,,0.34494195614446754,0.16426706878825878,-0.22518770159510462,0.28181339414994816,-0.2685556972608245,0.89,0.5,0.45,0.5,0.7,0.65,53.25
118634,Nippon India Small Cap Fund - Regular - Growth,0.23115750029076532,0.07908796445376409,,0.46200053880679837,0.3555169666757269,0.24889690625958097,0.4266896583709043,-0.33988355735731646,1.53,0.325,0.75,0.75,0.3125,0.3,51.18750000000001
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.3158249461410154,0.17264517390039336,,0.3385158925852876,0.20127310773335638,-2.819113165947696e-06,0.27470859951121873,-0.3040183042115633,1.41,0.575,0.425,0.45,0.55,0.45,49.625
118633,Nippon India Large Cap Fund - Direct - Growth,0.22802039906583715,0.16835901832633038,,0.31795213753138224,0.1853290693570612,-0.0768178634777877,0.2518340094403254,-0.294298802467039,0.72,0.55,0.325,0.3,0.8875,0.55,49.4375
149322,DSP Top 100 Equity Fund - Regular - Growth,0.19917157828504628,0.1668094891459313,,0.33375981778848857,0.1872016829880704,-0.1381392484702557,0.3339255392641977,-0.2600168867303505,1.54,0.525,0.4,0.575,0.2625,0.7,48.1875
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.18412936047519035,0.17804189286170224,,0.32277326534452894,0.16366869688420962,-0.0996421876039957,0.28066599891504507,-0.23503490261107363,1.57,0.625,0.35,0.475,0.175,0.775,47.375
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.1747593021123932,0.1333411670549567,,0.30128470671421553,0.21546058804396723,-0.298707155304957,0.2524148419073673,-0.22471743335640748,0.78,0.4,0.3,0.325,0.775,0.85,46.125
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.018751851766430017,0.1376478502372842,,0.38571098927936753,0.18214031373888065,0.06409337568972108,0.21934313754173584,-0.2982813699386675,1.42,0.425,0.55,0.25,0.525,0.5,44.375
119599,SBI Small Cap Fund - Direct Plan - Growth,0.10241628509957512,-0.020200770076660213,,0.39003167945674744,0.3180772206712405,0.46175847274364573,0.36088782714767526,-0.4973716047799065,0.72,0.075,0.575,0.65,0.8875,0.075,43.6875
120841,Kotak Bluechip Fund - Regular - Growth,0.12898257989666861,0.14594955734074588,,0.32727833904208087,0.17776151130186693,-0.23855347372875316,0.34036474449049947,-0.3180091909346917,1.59,0.475,0.375,0.6,0.15,0.425,42.12499999999999
120507,ICICI Pru Liquid Fund - Regular - Growth,0.06569289194019667,0.06868243603710122,,-0.06297999365527046,-0.039560127934783036,-0.03516540138601817,0.048735509542650525,-0.06388257820980014,0.74,0.3,0.125,0.15,0.85,0.95,37.375
120844,Kotak Liquid Fund - Regular - Growth,0.06459173652965888,0.06367629305620626,,-0.08409579574142981,-0.051408147049318675,-0.0400273003737565,0.04069857104140688,-0.06363502868475912,0.6,0.275,0.075,0.125,0.95,0.975,36.625
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.09569141500108214,0.03653986271631049,,-0.05511031817040224,-0.02834485299390291,0.026586432534672782,0.0029643558268279665,-0.10083481625682245,0.55,0.175,0.15,0.025,1.0,0.9,33.5
100025,HDFC Short Term Debt Fund - Regular - Growth,0.02183173075377498,0.045809928062691796,,-0.1421099131440459,-0.07145409905939942,-0.07377970531757133,0.029181447691498517,-0.0954014531408075,0.56,0.2,0.025,0.075,0.975,0.925,32.0
101208,ABSL Liquid Fund - Regular - Growth,0.06484310919666614,0.059445843973422896,,-0.12126071356941921,-0.07488257341374173,-0.03215725739236764,0.03640965754289993,-0.06110552029686922,0.79,0.25,0.05,0.1,0.75,1.0,31.999999999999996
120842,Kotak Emerging Equity Fund - Regular - Growth,0.1367929943801196,0.0817824125176958,,0.1747136729591952,0.1341348029203076,-0.11134000604654422,0.15474182602106673,-0.23472192218890986,1.56,0.35,0.225,0.225,0.2,0.8,31.625000000000004
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.063431351132055,0.05446979062901702,,-0.07473722270680361,-0.034692965892829226,-0.07065283253875662,0.026417939535854335,-0.10105521401683148,0.77,0.225,0.1,0.05,0.8,0.875,31.0
119095,Axis Small Cap Fund - Regular - Growth,-0.479896702732555,-0.11606064262380866,,0.36105805787735296,0.2730923199067381,-0.3109495008640229,0.2669092275220848,-0.4984219558031021,1.38,0.025,0.5,0.375,0.6,0.05,30.25
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.04131869777774322,-0.0021379322431990255,,0.14286054349086857,0.09743608620426004,-0.07041956562265146,0.2546821851540129,-0.22903637072854033,1.55,0.125,0.2,0.35,0.225,0.825,27.375
101207,ABSL Small Cap Fund - Regular - Growth,-0.26084509809424905,-0.03843733253069748,,0.349911458718126,0.2519218255648395,-0.035327653498556905,0.23114610876522784,-0.355330285331958,1.53,0.05,0.475,0.275,0.3125,0.275,26.3125
102886,UTI Mid Cap Fund - Regular - Growth,-0.12280022805411084,-0.008227770742209928,,0.20667928946638772,0.17689236749747914,0.055261180774081965,0.09474245071181761,-0.27651922900261683,1.51,0.1,0.25,0.175,0.4125,0.6,24.9375
119092,Axis Bluechip Fund - Regular - Growth,0.0319837447320892,0.005617188404763107,,0.13266643996667246,0.08724995781936122,-0.1468958452647244,0.11689316786073081,-0.24832777708829945,1.64,0.15,0.175,0.2,0.0375,0.75,20.9375
